Dust emission from Draine & Li (2007): ApJ 657, 810-837
================================================================
        10 = grain model
 4.000E-08 4.000E-01 5.000E-06 = a_01 (cm) , sigma_1 , b_C1/0.92
 2.500E-07 4.000E-01 5.000E-06 = a_02 (cm) , sigma_2 , b_C2/0.92
 1.000E+00 1.000E+06 2.000E+00 = Umin , Umax, beta (dN/dU propto U^{-beta})
 1.382E+01 = <U> 
     mmp83 = radfield
 1.442E-23 = power/H (erg s-1)
 band   nu*P_nu(band) j_nu(band)
 (um)   (erg s-1 H-1)(Jy cm2 sr-1 H-1)
1.270E+00  4.159E-26  1.401E-18 COBE-DIRBE
2.220E+00  5.770E-26  3.398E-18 COBE-DIRBE
3.530E+00  3.233E-25  3.027E-17 COBE-DIRBE
4.880E+00  1.994E-25  2.581E-17 COBE-DIRBE
1.229E+01  2.666E-24  8.692E-16 COBE-DIRBE
2.079E+01  4.692E-24  2.588E-15 COBE-DIRBE
5.599E+01  5.355E-24  7.953E-15 COBE-DIRBE
9.770E+01  3.694E-24  9.573E-15 COBE-DIRBE
1.479E+02  2.174E-24  8.529E-15 COBE-DIRBE
2.479E+02  6.440E-25  4.234E-15 COBE-DIRBE
1.200E+01  2.601E-24  8.279E-16 IRAS
2.500E+01  5.080E-24  3.369E-15 IRAS
6.000E+01  5.215E-24  8.301E-15 IRAS
1.000E+02  3.603E-24  9.558E-15 IRAS
3.550E+00  3.729E-25  3.511E-17 SST-IRAC
4.493E+00  1.400E-25  1.668E-17 SST-IRAC
5.731E+00  1.095E-24  1.664E-16 SST-IRAC
7.872E+00  3.032E-24  6.330E-16 SST-IRAC
2.368E+01  4.848E-24  3.045E-15 SST-MIPS
7.142E+01  4.280E-24  8.108E-15 SST-MIPS
1.559E+02  1.853E-24  7.665E-15 SST-MIPS
1.600E+01  3.032E-24  1.287E-15 SST-IRSPU
2.200E+01  4.958E-24  2.893E-15 SST-IRSPU











lambda    nu*dP/dnu     j_nu
 (um)   (erg s-1 H-1)(Jy cm2 sr-1 H-1)
1.000E+04  2.237E-31  5.934E-20
9.908E+03  2.318E-31  6.093E-20
9.817E+03  2.403E-31  6.257E-20
9.727E+03  2.490E-31  6.425E-20
9.638E+03  2.581E-31  6.598E-20
9.550E+03  2.675E-31  6.775E-20
9.462E+03  2.772E-31  6.957E-20
9.376E+03  2.873E-31  7.144E-20
9.290E+03  2.977E-31  7.336E-20
9.204E+03  3.086E-31  7.534E-20
