Dust emission from Draine & Li (2007): ApJ 657, 810-837
==========================================================
         1 = grain model
 4.000E-08 4.000E-01 0.000E+00 = a_01 (cm) , sigma_1 , b_C1/0.92
 2.000E-07 5.500E-01 0.000E+00 = a_02 (cm) , sigma_2 , b_C2/0.92
 1.500E+00 1.500E+00 1.000E+00 = Umin , Umax, beta (dN/dU propto U^{-beta})
 1.500E+00 = <U> 
     mmp83 = radfield
 6.703E-24 = power/H (erg s-1)
 band   nu*P_nu(band) j_nu(band)
 (um)   (erg s-1 H-1)(Jy cm2 sr-1 H-1)
1.270E+00  2.523E-27  8.501E-20 COBE-DIRBE
2.220E+00  2.989E-27  1.760E-19 COBE-DIRBE
3.530E+00  1.834E-26  1.717E-18 COBE-DIRBE
4.880E+00  8.016E-27  1.038E-18 COBE-DIRBE
1.229E+01  1.549E-25  5.049E-17 COBE-DIRBE
2.079E+01  2.312E-25  1.275E-16 COBE-DIRBE
5.599E+01  1.914E-24  2.843E-15 COBE-DIRBE
9.770E+01  4.683E-24  1.214E-14 COBE-DIRBE
1.479E+02  4.304E-24  1.688E-14 COBE-DIRBE
2.479E+02  1.577E-24  1.037E-14 COBE-DIRBE
1.200E+01  1.472E-25  4.687E-17 IRAS
2.500E+01  2.510E-25  1.665E-16 IRAS
6.000E+01  2.229E-24  3.547E-15 IRAS
1.000E+02  4.759E-24  1.262E-14 IRAS
3.550E+00  2.133E-26  2.008E-18 SST-IRAC
4.493E+00  5.808E-27  6.922E-19 SST-IRAC
5.731E+00  4.965E-26  7.548E-18 SST-IRAC
7.872E+00  1.531E-25  3.197E-17 SST-IRAC
2.368E+01  2.329E-25  1.463E-16 SST-MIPS
7.142E+01  2.986E-24  5.657E-15 SST-MIPS
1.559E+02  3.903E-24  1.614E-14 SST-MIPS
1.600E+01  1.879E-25  7.974E-17 SST-IRSPU
2.200E+01  2.352E-25  1.372E-16 SST-IRSPU
7.500E+01  2.535E-24  5.043E-15 Herschel-PACS
1.100E+02  3.502E-24  1.022E-14 Herschel-PACS
1.700E+02  2.969E-24  1.339E-14 Herschel-PACS
2.500E+02  1.362E-24  9.035E-15 Herschel-SPIRE
3.600E+02  4.174E-25  3.986E-15 Herschel-SPIRE
5.200E+02  1.072E-25  1.478E-15 Herschel-SPIRE
2.400E+00  3.289E-27  2.094E-19 Akari IRC NIR N2
3.200E+00  1.413E-26  1.200E-18 Akari IRC NIR N3
4.100E+00  6.322E-27  6.876E-19 Akari IRC NIR N4
7.000E+00  1.654E-25  3.070E-17 Akari IRC MIR-S S7
9.000E+00  1.344E-25  3.209E-17 Akari IRC MIR-S S9W
1.100E+01  1.325E-25  3.866E-17 Akari IRC MIR-S S11
1.500E+01  1.983E-25  7.891E-17 Akari IRC MIR-L L15
1.800E+01  2.149E-25  1.026E-16 Akari IRC MIR-L L18W
2.400E+01  2.342E-25  1.491E-16 Akari IRC MIR-L L24
6.500E+01  2.800E-24  4.827E-15 Akari FIS N60
8.000E+01  4.166E-24  8.841E-15 Akari FIS WIDE-S
1.400E+02  4.329E-24  1.608E-14 Akari FIS WIDE-L
1.600E+02  3.825E-24  1.623E-14 Akari FIS N160
 
 
 
 


lambda    nu*dP/dnu     j_nu
 (um)   (erg s-1 H-1)(Jy cm2 sr-1 H-1)
1.000E+04  5.734E-31  1.521E-19
9.908E+03  5.945E-31  1.562E-19
9.817E+03  6.162E-31  1.605E-19
9.727E+03  6.388E-31  1.648E-19
9.638E+03  6.622E-31  1.693E-19
9.550E+03  6.865E-31  1.739E-19
9.462E+03  7.117E-31  1.786E-19
9.376E+03  7.378E-31  1.835E-19
9.290E+03  7.648E-31  1.885E-19
9.204E+03  7.929E-31  1.936E-19
9.120E+03  8.219E-31  1.988E-19
9.036E+03  8.521E-31  2.042E-19
8.954E+03  8.832E-31  2.098E-19
8.872E+03  9.154E-31  2.154E-19
8.790E+03  9.488E-31  2.212E-19
8.710E+03  9.835E-31  2.272E-19
8.630E+03  1.019E-30  2.334E-19
8.551E+03  1.057E-30  2.397E-19
8.472E+03  1.095E-30  2.462E-19
8.395E+03  1.135E-30  2.528E-19
8.318E+03  1.177E-30  2.597E-19
8.241E+03  1.220E-30  2.667E-19
8.166E+03  1.265E-30  2.740E-19
8.091E+03  1.311E-30  2.814E-19
8.017E+03  1.359E-30  2.891E-19
7.943E+03  1.409E-30  2.969E-19
7.870E+03  1.461E-30  3.050E-19
7.798E+03  1.515E-30  3.134E-19
7.727E+03  1.571E-30  3.219E-19
7.656E+03  1.628E-30  3.307E-19
7.586E+03  1.688E-30  3.397E-19
7.516E+03  1.751E-30  3.490E-19
7.447E+03  1.815E-30  3.586E-19
7.379E+03  1.882E-30  3.684E-19
7.311E+03  1.952E-30  3.785E-19
7.244E+03  2.024E-30  3.889E-19
7.178E+03  2.099E-30  3.996E-19
7.112E+03  2.176E-30  4.105E-19
7.047E+03  2.257E-30  4.218E-19
6.982E+03  2.340E-30  4.334E-19
6.918E+03  2.427E-30  4.453E-19
6.855E+03  2.516E-30  4.576E-19
6.792E+03  2.610E-30  4.701E-19
6.730E+03  2.706E-30  4.831E-19
6.668E+03  2.806E-30  4.964E-19
6.607E+03  2.911E-30  5.101E-19
6.546E+03  3.019E-30  5.242E-19
6.486E+03  3.131E-30  5.386E-19
6.427E+03  3.247E-30  5.535E-19
6.368E+03  3.368E-30  5.688E-19
6.310E+03  3.493E-30  5.846E-19
6.252E+03  3.623E-30  6.008E-19
6.194E+03  3.758E-30  6.175E-19
6.138E+03  3.898E-30  6.346E-19
6.081E+03  4.043E-30  6.522E-19
6.026E+03  4.194E-30  6.703E-19
5.970E+03  4.351E-30  6.890E-19
5.916E+03  4.513E-30  7.082E-19
5.861E+03  4.682E-30  7.279E-19
5.808E+03  4.857E-30  7.482E-19
5.754E+03  5.039E-30  7.691E-19
5.702E+03  5.227E-30  7.906E-19
5.649E+03  5.423E-30  8.126E-19
5.598E+03  5.626E-30  8.354E-19
5.546E+03  5.837E-30  8.587E-19
5.495E+03  6.056E-30  8.828E-19
5.445E+03  6.283E-30  9.075E-19
5.395E+03  6.519E-30  9.330E-19
