Dust emission from Draine & Li (2007): ApJ 657, 810-837
==========================================================
         3 = grain model
 4.000E-08 4.000E-01 1.500E-05 = a_01 (cm) , sigma_1 , b_C1/0.92
 2.000E-07 5.500E-01 5.000E-06 = a_02 (cm) , sigma_2 , b_C2/0.92
 1.200E+01 1.200E+01 1.000E+00 = Umin , Umax, beta (dN/dU propto U^{-beta})
 1.200E+01 = <U> 
     mmp83 = radfield
 5.333E-23 = power/H (erg s-1)
 band   nu*P_nu(band) j_nu(band)
 (um)   (erg s-1 H-1)(Jy cm2 sr-1 H-1)
1.270E+00  7.922E-26  2.669E-18 COBE-DIRBE
2.220E+00  9.965E-26  5.868E-18 COBE-DIRBE
3.530E+00  6.626E-25  6.204E-17 COBE-DIRBE
4.880E+00  2.954E-25  3.824E-17 COBE-DIRBE
1.229E+01  2.951E-24  9.620E-16 COBE-DIRBE
2.079E+01  2.633E-24  1.452E-15 COBE-DIRBE
5.599E+01  2.996E-23  4.450E-14 COBE-DIRBE
9.770E+01  3.338E-23  8.649E-14 COBE-DIRBE
1.479E+02  1.843E-23  7.229E-14 COBE-DIRBE
2.479E+02  4.329E-24  2.846E-14 COBE-DIRBE
1.200E+01  3.131E-24  9.965E-16 IRAS
2.500E+01  2.793E-24  1.852E-15 IRAS
6.000E+01  3.138E-23  4.994E-14 IRAS
1.000E+02  3.272E-23  8.680E-14 IRAS
3.550E+00  7.709E-25  7.260E-17 SST-IRAC
4.493E+00  2.137E-25  2.547E-17 SST-IRAC
5.731E+00  1.743E-24  2.649E-16 SST-IRAC
7.872E+00  4.340E-24  9.063E-16 SST-IRAC
2.368E+01  2.467E-24  1.550E-15 SST-MIPS
7.142E+01  3.382E-23  6.407E-14 SST-MIPS
1.559E+02  1.524E-23  6.300E-14 SST-MIPS
1.600E+01  2.630E-24  1.116E-15 SST-IRSPU
2.200E+01  2.551E-24  1.489E-15 SST-IRSPU
7.500E+01  2.921E-23  5.811E-14 Herschel-PACS
1.100E+02  2.369E-23  6.913E-14 Herschel-PACS
1.700E+02  1.156E-23  5.211E-14 Herschel-PACS
2.500E+02  3.591E-24  2.381E-14 Herschel-SPIRE
3.600E+02  8.791E-25  8.395E-15 Herschel-SPIRE
5.200E+02  1.970E-25  2.717E-15 Herschel-SPIRE
2.400E+00  1.118E-25  7.120E-18 Akari IRC NIR N2
3.200E+00  5.089E-25  4.319E-17 Akari IRC NIR N3
4.100E+00  2.322E-25  2.525E-17 Akari IRC NIR N4
7.000E+00  4.911E-24  9.118E-16 Akari IRC MIR-S S7
9.000E+00  3.509E-24  8.377E-16 Akari IRC MIR-S S9W
1.100E+01  2.836E-24  8.274E-16 Akari IRC MIR-S S11
1.500E+01  2.740E-24  1.090E-15 Akari IRC MIR-L L15
1.800E+01  2.563E-24  1.224E-15 Akari IRC MIR-L L18W
2.400E+01  2.476E-24  1.576E-15 Akari IRC MIR-L L24
6.500E+01  3.566E-23  6.149E-14 Akari FIS N60
8.000E+01  3.508E-23  7.445E-14 Akari FIS WIDE-S
1.400E+02  1.838E-23  6.825E-14 Akari FIS WIDE-L
1.600E+02  1.427E-23  6.058E-14 Akari FIS N160
 
 
 
 


lambda    nu*dP/dnu     j_nu
 (um)   (erg s-1 H-1)(Jy cm2 sr-1 H-1)
1.000E+04  8.110E-31  2.151E-19
9.908E+03  8.407E-31  2.210E-19
9.817E+03  8.716E-31  2.270E-19
9.727E+03  9.036E-31  2.331E-19
9.638E+03  9.367E-31  2.395E-19
9.550E+03  9.711E-31  2.460E-19
9.462E+03  1.007E-30  2.527E-19
9.376E+03  1.044E-30  2.596E-19
9.290E+03  1.082E-30  2.666E-19
9.204E+03  1.122E-30  2.739E-19
9.120E+03  1.163E-30  2.813E-19
9.036E+03  1.206E-30  2.890E-19
8.954E+03  1.250E-30  2.968E-19
8.872E+03  1.295E-30  3.049E-19
8.790E+03  1.343E-30  3.131E-19
8.710E+03  1.392E-30  3.216E-19
8.630E+03  1.443E-30  3.303E-19
8.551E+03  1.496E-30  3.392E-19
8.472E+03  1.550E-30  3.484E-19
8.395E+03  1.607E-30  3.579E-19
8.318E+03  1.666E-30  3.676E-19
8.241E+03  1.727E-30  3.776E-19
8.166E+03  1.791E-30  3.879E-19
8.091E+03  1.857E-30  3.985E-19
8.017E+03  1.925E-30  4.094E-19
7.943E+03  1.996E-30  4.205E-19
7.870E+03  2.069E-30  4.320E-19
7.798E+03  2.146E-30  4.438E-19
7.727E+03  2.225E-30  4.560E-19
7.656E+03  2.307E-30  4.685E-19
7.586E+03  2.392E-30  4.813E-19
7.516E+03  2.480E-30  4.945E-19
7.447E+03  2.572E-30  5.081E-19
7.379E+03  2.667E-30  5.220E-19
7.311E+03  2.766E-30  5.364E-19
7.244E+03  2.868E-30  5.512E-19
7.178E+03  2.974E-30  5.663E-19
7.112E+03  3.085E-30  5.820E-19
7.047E+03  3.199E-30  5.980E-19
6.982E+03  3.318E-30  6.145E-19
6.918E+03  3.441E-30  6.314E-19
6.855E+03  3.568E-30  6.489E-19
6.792E+03  3.701E-30  6.668E-19
6.730E+03  3.838E-30  6.852E-19
6.668E+03  3.981E-30  7.041E-19
6.607E+03  4.129E-30  7.236E-19
6.546E+03  4.283E-30  7.437E-19
6.486E+03  4.442E-30  7.643E-19
6.427E+03  4.608E-30  7.855E-19
6.368E+03  4.780E-30  8.073E-19
6.310E+03  4.958E-30  8.298E-19
6.252E+03  5.143E-30  8.529E-19
6.194E+03  5.335E-30  8.766E-19
6.138E+03  5.535E-30  9.011E-19
6.081E+03  5.742E-30  9.262E-19
6.026E+03  5.957E-30  9.521E-19
5.970E+03  6.180E-30  9.787E-19
5.916E+03  6.412E-30  1.006E-18
5.861E+03  6.652E-30  1.034E-18
5.808E+03  6.902E-30  1.063E-18
5.754E+03  7.161E-30  1.093E-18
5.702E+03  7.430E-30  1.124E-18
5.649E+03  7.709E-30  1.155E-18
5.598E+03  8.000E-30  1.188E-18
5.546E+03  8.301E-30  1.221E-18
5.495E+03  8.613E-30  1.256E-18
5.445E+03  8.938E-30  1.291E-18
5.395E+03  9.275E-30  1.327E-18
5.346E+03  9.625E-30  1.365E-18
5.297E+03  9.989E-30  1.403E-18
5.248E+03  1.037E-29  1.443E-18
5.200E+03  1.076E-29  1.484E-18
5.152E+03  1.117E-29  1.526E-18
5.105E+03  1.159E-29  1.569E-18
5.058E+03  1.203E-29  1.614E-18
5.012E+03  1.248E-29  1.659E-18
4.966E+03  1.296E-29  1.707E-18
4.920E+03  1.345E-29  1.755E-18
4.875E+03  1.396E-29  1.805E-18
4.831E+03  1.449E-29  1.856E-18
4.786E+03  1.504E-29  1.909E-18
4.742E+03  1.561E-29  1.963E-18
4.699E+03  1.620E-29  2.019E-18
4.656E+03  1.682E-29  2.077E-18
4.613E+03  1.746E-29  2.136E-18
4.571E+03  1.812E-29  2.198E-18
4.529E+03  1.882E-29  2.260E-18
4.487E+03  1.953E-29  2.325E-18
4.446E+03  2.028E-29  2.392E-18
4.406E+03  2.106E-29  2.461E-18
4.365E+03  2.186E-29  2.531E-18
4.325E+03  2.270E-29  2.604E-18
4.285E+03  2.357E-29  2.679E-18
4.246E+03  2.447E-29  2.756E-18
4.207E+03  2.541E-29  2.836E-18
4.169E+03  2.638E-29  2.917E-18
4.130E+03  2.740E-29  3.002E-18
4.093E+03  2.845E-29  3.088E-18
4.055E+03  2.954E-29  3.178E-18
4.018E+03  3.068E-29  3.270E-18
3.981E+03  3.186E-29  3.364E-18
3.945E+03  3.308E-29  3.462E-18
3.908E+03  3.436E-29  3.562E-18
3.873E+03  3.568E-29  3.665E-18
3.837E+03  3.706E-29  3.772E-18
3.802E+03  3.848E-29  3.881E-18
3.767E+03  3.997E-29  3.994E-18
3.733E+03  4.151E-29  4.110E-18
3.698E+03  4.312E-29  4.230E-18
3.664E+03  4.479E-29  4.353E-18
3.631E+03  4.652E-29  4.480E-18
3.597E+03  4.832E-29  4.611E-18
3.565E+03  5.020E-29  4.746E-18
3.532E+03  5.215E-29  4.885E-18
3.499E+03  5.417E-29  5.028E-18
3.467E+03  5.628E-29  5.176E-18
3.436E+03  5.846E-29  5.328E-18
3.404E+03  6.074E-29  5.485E-18
3.373E+03  6.311E-29  5.646E-18
3.342E+03  6.556E-29  5.812E-18
3.311E+03  6.812E-29  5.984E-18
3.281E+03  7.078E-29  6.160E-18
3.251E+03  7.354E-29  6.342E-18
3.221E+03  7.642E-29  6.529E-18
3.192E+03  7.941E-29  6.723E-18
3.162E+03  8.252E-29  6.922E-18
3.133E+03  8.575E-29  7.127E-18
3.105E+03  8.911E-29  7.338E-18
3.076E+03  9.260E-29  7.556E-18
3.048E+03  9.623E-29  7.780E-18
3.020E+03  1.000E-28  8.012E-18
2.992E+03  1.039E-28  8.250E-18
2.965E+03  1.080E-28  8.495E-18
2.938E+03  1.122E-28  8.747E-18
2.911E+03  1.167E-28  9.007E-18
2.884E+03  1.212E-28  9.275E-18
2.858E+03  1.260E-28  9.551E-18
2.831E+03  1.310E-28  9.836E-18
2.805E+03  1.361E-28  1.013E-17
2.780E+03  1.415E-28  1.043E-17
2.754E+03  1.471E-28  1.074E-17
2.729E+03  1.529E-28  1.106E-17
2.704E+03  1.589E-28  1.140E-17
2.679E+03  1.652E-28  1.174E-17
2.655E+03  1.717E-28  1.209E-17
2.630E+03  1.785E-28  1.245E-17
2.606E+03  1.856E-28  1.283E-17
2.582E+03  1.929E-28  1.321E-17
2.559E+03  2.005E-28  1.361E-17
2.535E+03  2.085E-28  1.402E-17
2.512E+03  2.168E-28  1.444E-17
2.489E+03  2.254E-28  1.488E-17
2.466E+03  2.343E-28  1.533E-17
2.443E+03  2.437E-28  1.579E-17
2.421E+03  2.534E-28  1.627E-17
2.399E+03  2.634E-28  1.676E-17
2.377E+03  2.739E-28  1.727E-17
2.355E+03  2.849E-28  1.780E-17
2.333E+03  2.962E-28  1.834E-17
2.312E+03  3.080E-28  1.889E-17
2.291E+03  3.203E-28  1.947E-17
2.270E+03  3.331E-28  2.006E-17
