Dust emission from Draine & Li (2007): ApJ 657, 810-837
==========================================================
         2 = grain model
 4.000E-08 4.000E-01 7.500E-06 = a_01 (cm) , sigma_1 , b_C1/0.92
 2.000E-07 5.500E-01 2.500E-06 = a_02 (cm) , sigma_2 , b_C2/0.92
 1.200E+01 1.000E+06 2.000E+00 = Umin , Umax, beta (dN/dU propto U^{-beta})
 1.360E+02 = <U> 
     mmp83 = radfield
 6.010E-22 = power/H (erg s-1)
 band   nu*P_nu(band) j_nu(band)
 (um)   (erg s-1 H-1)(Jy cm2 sr-1 H-1)
1.270E+00  5.880E-25  1.981E-17 COBE-DIRBE
2.220E+00  7.813E-25  4.601E-17 COBE-DIRBE
3.530E+00  6.067E-24  5.681E-16 COBE-DIRBE
4.880E+00  7.681E-24  9.943E-16 COBE-DIRBE
1.229E+01  9.175E-23  2.991E-14 COBE-DIRBE
2.079E+01  1.931E-22  1.065E-13 COBE-DIRBE
5.599E+01  2.668E-22  3.962E-13 COBE-DIRBE
9.770E+01  1.048E-22  2.716E-13 COBE-DIRBE
1.479E+02  3.900E-23  1.530E-13 COBE-DIRBE
2.479E+02  7.095E-24  4.665E-14 COBE-DIRBE
1.200E+01  8.742E-23  2.783E-14 IRAS
2.500E+01  2.423E-22  1.607E-13 IRAS
6.000E+01  2.502E-22  3.982E-13 IRAS
1.000E+02  9.892E-23  2.624E-13 IRAS
3.550E+00  6.942E-24  6.537E-16 SST-IRAC
4.493E+00  5.209E-24  6.208E-16 SST-IRAC
5.731E+00  2.928E-23  4.452E-15 SST-IRAC
7.872E+00  8.516E-23  1.778E-14 SST-IRAC
2.368E+01  2.288E-22  1.437E-13 SST-MIPS
7.142E+01  1.693E-22  3.207E-13 SST-MIPS
1.559E+02  3.014E-23  1.246E-13 SST-MIPS
1.600E+01  1.202E-22  5.101E-14 SST-IRSPU
2.200E+01  2.227E-22  1.299E-13 SST-IRSPU
7.500E+01  1.468E-22  2.921E-13 Herschel-PACS
1.100E+02  6.977E-23  2.036E-13 Herschel-PACS
1.700E+02  2.298E-23  1.036E-13 Herschel-PACS
2.500E+02  5.749E-24  3.812E-14 Herschel-SPIRE
3.600E+02  1.269E-24  1.212E-14 Herschel-SPIRE
5.200E+02  2.681E-25  3.698E-15 Herschel-SPIRE
2.400E+00  9.466E-25  6.026E-17 Akari IRC NIR N2
3.200E+00  4.519E-24  3.836E-16 Akari IRC NIR N3
4.100E+00  5.118E-24  5.566E-16 Akari IRC NIR N4
7.000E+00  8.622E-23  1.601E-14 Akari IRC MIR-S S7
9.000E+00  8.149E-23  1.945E-14 Akari IRC MIR-S S9W
1.100E+01  8.224E-23  2.400E-14 Akari IRC MIR-S S11
1.500E+01  1.271E-22  5.055E-14 Akari IRC MIR-L L15
1.800E+01  1.710E-22  8.163E-14 Akari IRC MIR-L L18W
2.400E+01  2.240E-22  1.426E-13 Akari IRC MIR-L L24
6.500E+01  2.079E-22  3.584E-13 Akari FIS N60
8.000E+01  1.368E-22  2.903E-13 Akari FIS WIDE-S
1.400E+02  3.853E-23  1.431E-13 Akari FIS WIDE-L
1.600E+02  2.746E-23  1.165E-13 Akari FIS N160
 
 
 
 


lambda    nu*dP/dnu     j_nu
 (um)   (erg s-1 H-1)(Jy cm2 sr-1 H-1)
1.000E+04  9.876E-31  2.620E-19
9.908E+03  1.024E-30  2.691E-19
9.817E+03  1.062E-30  2.764E-19
9.727E+03  1.101E-30  2.840E-19
9.638E+03  1.141E-30  2.917E-19
9.550E+03  1.183E-30  2.997E-19
9.462E+03  1.226E-30  3.078E-19
9.376E+03  1.272E-30  3.162E-19
9.290E+03  1.318E-30  3.249E-19
9.204E+03  1.367E-30  3.337E-19
9.120E+03  1.417E-30  3.428E-19
9.036E+03  1.469E-30  3.522E-19
8.954E+03  1.523E-30  3.618E-19
8.872E+03  1.579E-30  3.716E-19
8.790E+03  1.637E-30  3.816E-19
