Dust emission from Draine & Li (2007): ApJ 657, 810-837
================================================================
        11 = grain model
 4.000E-08 4.000E-01 0.000E+00 = a_01 (cm) , sigma_1 , b_C1/0.92
 2.500E-07 4.000E-01 0.000E+00 = a_02 (cm) , sigma_2 , b_C2/0.92
 1.500E+01 1.500E+01 1.000E+00 = Umin , Umax, beta (dN/dU propto U^{-beta})
 1.500E+01 = <U> 
     mmp83 = radfield
 8.288E-24 = power/H (erg s-1)
 band   nu*P_nu(band) j_nu(band)
 (um)   (erg s-1 H-1)(Jy cm2 sr-1 H-1)
1.270E+00  8.412E-27  2.834E-19 COBE-DIRBE
2.220E+00  1.413E-26  8.320E-19 COBE-DIRBE
3.530E+00  2.413E-26  2.259E-18 COBE-DIRBE
4.880E+00  1.818E-26  2.353E-18 COBE-DIRBE
1.229E+01  2.180E-25  7.107E-17 COBE-DIRBE
2.079E+01  3.597E-25  1.984E-16 COBE-DIRBE
5.599E+01  4.167E-24  6.188E-15 COBE-DIRBE
9.770E+01  6.193E-24  1.605E-14 COBE-DIRBE
1.479E+02  3.588E-24  1.407E-14 COBE-DIRBE
2.479E+02  8.765E-25  5.763E-15 COBE-DIRBE
1.200E+01  2.142E-25  6.818E-17 IRAS
2.500E+01  3.982E-25  2.640E-16 IRAS
6.000E+01  4.588E-24  7.302E-15 IRAS
1.000E+02  6.119E-24  1.623E-14 IRAS
3.550E+00  2.576E-26  2.426E-18 SST-IRAC
4.493E+00  1.710E-26  2.038E-18 SST-IRAC
5.731E+00  3.871E-26  5.884E-18 SST-IRAC
7.872E+00  1.539E-25  3.214E-17 SST-IRAC
2.368E+01  3.748E-25  2.354E-16 SST-MIPS
7.142E+01  5.514E-24  1.045E-14 SST-MIPS
1.559E+02  2.980E-24  1.232E-14 SST-MIPS
1.600E+01  2.191E-25  9.300E-17 SST-IRSPU
2.200E+01  3.853E-25  2.249E-16 SST-IRSPU











lambda    nu*dP/dnu     j_nu
 (um)   (erg s-1 H-1)(Jy cm2 sr-1 H-1)
