Dust emission from Draine & Li (2007): ApJ 657, 810-837
================================================================
         9 = grain model
 4.000E-08 4.000E-01 2.500E-06 = a_01 (cm) , sigma_1 , b_C1/0.92
 2.500E-07 4.000E-01 2.500E-06 = a_02 (cm) , sigma_2 , b_C2/0.92
 1.500E+01 1.000E+05 2.000E+00 = Umin , Umax, beta (dN/dU propto U^{-beta})
 1.321E+02 = <U> 
     mmp83 = radfield
 1.244E-22 = power/H (erg s-1)
 band   nu*P_nu(band) j_nu(band)
 (um)   (erg s-1 H-1)(Jy cm2 sr-1 H-1)
1.270E+00  2.306E-25  7.767E-18 COBE-DIRBE
2.220E+00  3.030E-25  1.784E-17 COBE-DIRBE
3.530E+00  1.266E-24  1.186E-16 COBE-DIRBE
4.880E+00  6.202E-25  8.028E-17 COBE-DIRBE
1.229E+01  1.251E-23  4.077E-15 COBE-DIRBE
2.079E+01  3.603E-23  1.987E-14 COBE-DIRBE
5.599E+01  6.582E-23  9.776E-14 COBE-DIRBE
9.770E+01  3.114E-23  8.071E-14 COBE-DIRBE
1.479E+02  1.185E-23  4.648E-14 COBE-DIRBE
2.479E+02  2.213E-24  1.455E-14 COBE-DIRBE
1.200E+01  1.135E-23  3.612E-15 IRAS
2.500E+01  4.486E-23  2.975E-14 IRAS
6.000E+01  6.257E-23  9.959E-14 IRAS
1.000E+02  2.953E-23  7.834E-14 IRAS
3.550E+00  1.453E-24  1.368E-16 SST-IRAC
4.493E+00  4.713E-25  5.617E-17 SST-IRAC
5.731E+00  3.374E-24  5.129E-16 SST-IRAC
7.872E+00  1.132E-23  2.364E-15 SST-IRAC
2.368E+01  4.323E-23  2.716E-14 SST-MIPS
7.142E+01  4.713E-23  8.928E-14 SST-MIPS
1.559E+02  9.169E-24  3.792E-14 SST-MIPS
1.600E+01  1.765E-23  7.492E-15 SST-IRSPU
2.200E+01  4.206E-23  2.455E-14 SST-IRSPU











lambda    nu*dP/dnu     j_nu
 (um)   (erg s-1 H-1)(Jy cm2 sr-1 H-1)
1.000E+04  3.584E-31  9.508E-20
9.908E+03  3.715E-31  9.765E-20
9.817E+03  3.851E-31  1.003E-19
9.727E+03  3.992E-31  1.030E-19
9.638E+03  4.138E-31  1.058E-19
9.550E+03  4.289E-31  1.086E-19
9.462E+03  4.446E-31  1.116E-19
9.376E+03  4.608E-31  1.146E-19
9.290E+03  4.777E-31  1.177E-19
9.204E+03  4.951E-31  1.209E-19
9.120E+03  5.132E-31  1.242E-19
9.036E+03  5.320E-31  1.275E-19
8.954E+03  5.513E-31  1.309E-19
8.872E+03  5.714E-31  1.345E-19
8.790E+03  5.921E-31  1.381E-19
8.710E+03  6.137E-31  1.418E-19
8.630E+03  6.360E-31  1.456E-19
8.551E+03  6.592E-31  1.495E-19
8.472E+03  6.832E-31  1.535E-19
8.395E+03  7.081E-31  1.577E-19
8.318E+03  7.340E-31  1.619E-19
8.241E+03  7.608E-31  1.663E-19
8.166E+03  7.886E-31  1.708E-19
8.091E+03  8.174E-31  1.754E-19
8.017E+03  8.473E-31  1.802E-19
7.943E+03  8.783E-31  1.851E-19
7.870E+03  9.105E-31  1.901E-19
7.798E+03  9.438E-31  1.952E-19
7.727E+03  9.784E-31  2.005E-19
7.656E+03  1.014E-30  2.060E-19
7.586E+03  1.052E-30  2.116E-19
7.516E+03  1.090E-30  2.174E-19
7.447E+03  1.130E-30  2.233E-19
7.379E+03  1.172E-30  2.294E-19
7.311E+03  1.215E-30  2.356E-19
7.244E+03  1.260E-30  2.421E-19
7.178E+03  1.306E-30  2.487E-19
7.112E+03  1.354E-30  2.555E-19
7.047E+03  1.404E-30  2.625E-19
6.982E+03  1.456E-30  2.697E-19
6.918E+03  1.510E-30  2.770E-19
6.855E+03  1.565E-30  2.846E-19
6.792E+03  1.623E-30  2.924E-19
6.730E+03  1.683E-30  3.004E-19
6.668E+03  1.745E-30  3.087E-19
6.607E+03  1.810E-30  3.172E-19
6.546E+03  1.877E-30  3.259E-19
6.486E+03  1.946E-30  3.348E-19
6.427E+03  2.018E-30  3.441E-19
6.368E+03  2.093E-30  3.535E-19
6.310E+03  2.171E-30  3.633E-19
6.252E+03  2.251E-30  3.733E-19
6.194E+03  2.335E-30  3.836E-19
6.138E+03  2.422E-30  3.942E-19
6.081E+03  2.512E-30  4.052E-19
6.026E+03  2.605E-30  4.164E-19
5.970E+03  2.702E-30  4.279E-19
5.916E+03  2.803E-30  4.398E-19
5.861E+03  2.907E-30  4.520E-19
5.808E+03  3.016E-30  4.646E-19
5.754E+03  3.128E-30  4.775E-19
5.702E+03  3.245E-30  4.908E-19
5.649E+03  3.366E-30  5.044E-19
5.598E+03  3.492E-30  5.185E-19
5.546E+03  3.623E-30  5.330E-19
5.495E+03  3.758E-30  5.478E-19
5.445E+03  3.899E-30  5.631E-19
5.395E+03  4.045E-30  5.789E-19
5.346E+03  4.197E-30  5.951E-19
5.297E+03  4.354E-30  6.117E-19
5.248E+03  4.517E-30  6.289E-19
5.200E+03  4.687E-30  6.465E-19
