Dust emission from Draine & Li (2007): ApJ 657, 810-837
==========================================================
         7 = grain model
 4.000E-08 4.000E-01 4.500E-05 = a_01 (cm) , sigma_1 , b_C1/0.92
 2.000E-07 5.500E-01 1.500E-05 = a_02 (cm) , sigma_2 , b_C2/0.92
 1.000E+04 1.000E+04 1.000E+00 = Umin , Umax, beta (dN/dU propto U^{-beta})
 1.000E+04 = <U> 
     mmp83 = radfield
 4.546E-20 = power/H (erg s-1)
 band   nu*P_nu(band) j_nu(band)
 (um)   (erg s-1 H-1)(Jy cm2 sr-1 H-1)
1.270E+00  1.867E-22  6.289E-15 COBE-DIRBE
2.220E+00  2.404E-22  1.416E-14 COBE-DIRBE
3.530E+00  1.578E-21  1.477E-13 COBE-DIRBE
4.880E+00  7.323E-22  9.480E-14 COBE-DIRBE
1.229E+01  8.427E-21  2.747E-12 COBE-DIRBE
2.079E+01  1.638E-20  9.031E-12 COBE-DIRBE
5.599E+01  1.395E-20  2.072E-11 COBE-DIRBE
9.770E+01  1.886E-21  4.888E-12 COBE-DIRBE
1.479E+02  3.631E-22  1.425E-12 COBE-DIRBE
2.479E+02  3.869E-23  2.544E-13 COBE-DIRBE
1.200E+01  8.859E-21  2.820E-12 IRAS
2.500E+01  2.240E-20  1.485E-11 IRAS
6.000E+01  1.249E-20  1.987E-11 IRAS
1.000E+02  1.669E-21  4.426E-12 IRAS
3.550E+00  1.834E-21  1.727E-13 SST-IRAC
4.493E+00  5.274E-22  6.286E-14 SST-IRAC
5.731E+00  4.462E-21  6.784E-13 SST-IRAC
7.872E+00  1.230E-20  2.569E-12 SST-IRAC
2.368E+01  2.139E-20  1.344E-11 SST-MIPS
7.142E+01  5.323E-21  1.008E-11 SST-MIPS
1.559E+02  2.436E-22  1.007E-12 SST-MIPS
1.600E+01  8.892E-21  3.774E-12 SST-IRSPU
2.200E+01  2.002E-20  1.168E-11 SST-IRSPU
7.500E+01  4.598E-21  9.147E-12 Herschel-PACS
1.100E+02  1.118E-21  3.262E-12 Herschel-PACS
1.700E+02  1.889E-22  8.520E-13 Herschel-PACS
2.500E+02  2.960E-23  1.963E-13 Herschel-SPIRE
3.600E+02  5.097E-24  4.868E-14 Herschel-SPIRE
5.200E+02  9.266E-25  1.278E-14 Herschel-SPIRE
2.400E+00  2.704E-22  1.721E-14 Akari IRC NIR N2
3.200E+00  1.213E-21  1.029E-13 Akari IRC NIR N3
4.100E+00  5.726E-22  6.227E-14 Akari IRC NIR N4
7.000E+00  1.368E-20  2.539E-12 Akari IRC MIR-S S7
9.000E+00  9.917E-21  2.368E-12 Akari IRC MIR-S S9W
1.100E+01  8.005E-21  2.336E-12 Akari IRC MIR-S S11
1.500E+01  9.492E-21  3.777E-12 Akari IRC MIR-L L15
1.800E+01  1.405E-20  6.710E-12 Akari IRC MIR-L L18W
2.400E+01  2.051E-20  1.306E-11 Akari IRC MIR-L L24
6.500E+01  7.626E-21  1.315E-11 Akari FIS N60
8.000E+01  3.472E-21  7.369E-12 Akari FIS WIDE-S
1.400E+02  3.505E-22  1.302E-12 Akari FIS WIDE-L
1.600E+02  2.092E-22  8.880E-13 Akari FIS N160
 
 
 
 


lambda    nu*dP/dnu     j_nu
 (um)   (erg s-1 H-1)(Jy cm2 sr-1 H-1)
1.000E+04  2.542E-30  6.742E-19
9.908E+03  2.635E-30  6.927E-19
9.817E+03  2.732E-30  7.115E-19
9.727E+03  2.833E-30  7.310E-19
9.638E+03  2.937E-30  7.509E-19
9.550E+03  3.045E-30  7.714E-19
9.462E+03  3.157E-30  7.925E-19
9.376E+03  3.273E-30  8.141E-19
9.290E+03  3.394E-30  8.363E-19
9.204E+03  3.519E-30  8.592E-19
9.120E+03  3.648E-30  8.826E-19
9.036E+03  3.783E-30  9.067E-19
8.954E+03  3.922E-30  9.314E-19
8.872E+03  4.065E-30  9.567E-19
8.790E+03  4.214E-30  9.826E-19
8.710E+03  4.369E-30  1.009E-18
8.630E+03  4.529E-30  1.037E-18
8.551E+03  4.695E-30  1.065E-18
8.472E+03  4.868E-30  1.094E-18
8.395E+03  5.047E-30  1.124E-18
8.318E+03  5.233E-30  1.154E-18
8.241E+03  5.425E-30  1.186E-18
8.166E+03  5.625E-30  1.218E-18
8.091E+03  5.833E-30  1.252E-18
8.017E+03  6.048E-30  1.286E-18
7.943E+03  6.271E-30  1.321E-18
7.870E+03  6.503E-30  1.358E-18
7.798E+03  6.743E-30  1.395E-18
7.727E+03  6.993E-30  1.433E-18
7.656E+03  7.252E-30  1.473E-18
7.586E+03  7.520E-30  1.513E-18
7.516E+03  7.799E-30  1.555E-18
7.447E+03  8.089E-30  1.598E-18
7.379E+03  8.389E-30  1.642E-18
7.311E+03  8.701E-30  1.687E-18
7.244E+03  9.024E-30  1.734E-18
7.178E+03  9.360E-30  1.782E-18
7.112E+03  9.708E-30  1.832E-18
7.047E+03  1.007E-29  1.882E-18
6.982E+03  1.045E-29  1.935E-18
6.918E+03  1.083E-29  1.988E-18
6.855E+03  1.124E-29  2.043E-18
6.792E+03  1.166E-29  2.100E-18
6.730E+03  1.209E-29  2.159E-18
6.668E+03  1.254E-29  2.219E-18
6.607E+03  1.301E-29  2.280E-18
6.546E+03  1.350E-29  2.344E-18
6.486E+03  1.400E-29  2.409E-18
6.427E+03  1.453E-29  2.477E-18
6.368E+03  1.507E-29  2.546E-18
6.310E+03  1.564E-29  2.617E-18
6.252E+03  1.623E-29  2.691E-18
6.194E+03  1.683E-29  2.766E-18
6.138E+03  1.747E-29  2.844E-18
6.081E+03  1.812E-29  2.924E-18
6.026E+03  1.881E-29  3.006E-18
5.970E+03  1.952E-29  3.091E-18
5.916E+03  2.025E-29  3.178E-18
5.861E+03  2.102E-29  3.268E-18
5.808E+03  2.181E-29  3.360E-18
5.754E+03  2.263E-29  3.455E-18
5.702E+03  2.349E-29  3.553E-18
5.649E+03  2.438E-29  3.653E-18
5.598E+03  2.530E-29  3.757E-18
5.546E+03  2.626E-29  3.863E-18
5.495E+03  2.726E-29  3.973E-18
5.445E+03  2.829E-29  4.086E-18
5.395E+03  2.937E-29  4.202E-18
5.346E+03  3.048E-29  4.322E-18
5.297E+03  3.164E-29  4.445E-18
5.248E+03  3.284E-29  4.572E-18
5.200E+03  3.410E-29  4.703E-18
5.152E+03  3.539E-29  4.837E-18
5.105E+03  3.674E-29  4.976E-18
5.058E+03  3.815E-29  5.118E-18
5.012E+03  3.960E-29  5.265E-18
4.966E+03  4.112E-29  5.416E-18
4.920E+03  4.269E-29  5.571E-18
4.875E+03  4.432E-29  5.731E-18
4.831E+03  4.601E-29  5.896E-18
4.786E+03  4.778E-29  6.066E-18
4.742E+03  4.961E-29  6.241E-18
4.699E+03  5.151E-29  6.421E-18
4.656E+03  5.349E-29  6.606E-18
4.613E+03  5.554E-29  6.797E-18
4.571E+03  5.768E-29  6.994E-18
4.529E+03  5.990E-29  7.196E-18
4.487E+03  6.221E-29  7.405E-18
4.446E+03  6.461E-29  7.620E-18
4.406E+03  6.710E-29  7.841E-18
4.365E+03  6.969E-29  8.069E-18
4.325E+03  7.238E-29  8.304E-18
4.285E+03  7.518E-29  8.546E-18
4.246E+03  7.809E-29  8.795E-18
4.207E+03  8.111E-29  9.052E-18
4.169E+03  8.426E-29  9.317E-18
4.130E+03  8.753E-29  9.590E-18
4.093E+03  9.092E-29  9.871E-18
4.055E+03  9.446E-29  1.016E-17
4.018E+03  9.813E-29  1.046E-17
3.981E+03  1.019E-28  1.077E-17
3.945E+03  1.059E-28  1.108E-17
3.908E+03  1.100E-28  1.141E-17
3.873E+03  1.143E-28  1.174E-17
3.837E+03  1.188E-28  1.209E-17
