Dust emission from Draine & Li (2007): ApJ 657, 810-837
================================================================
        11 = grain model
 4.000E-08 4.000E-01 0.000E+00 = a_01 (cm) , sigma_1 , b_C1/0.92
 2.500E-07 4.000E-01 0.000E+00 = a_02 (cm) , sigma_2 , b_C2/0.92
 2.000E+01 1.000E+03 2.000E+00 = Umin , Umax, beta (dN/dU propto U^{-beta})
 7.984E+01 = <U> 
     mmp83 = radfield
 4.409E-23 = power/H (erg s-1)
 band   nu*P_nu(band) j_nu(band)
 (um)   (erg s-1 H-1)(Jy cm2 sr-1 H-1)
1.270E+00  4.488E-26  1.512E-18 COBE-DIRBE
2.220E+00  7.515E-26  4.425E-18 COBE-DIRBE
3.530E+00  1.284E-25  1.202E-17 COBE-DIRBE
4.880E+00  9.678E-26  1.253E-17 COBE-DIRBE
1.229E+01  1.258E-24  4.102E-16 COBE-DIRBE
2.079E+01  3.134E-24  1.728E-15 COBE-DIRBE
5.599E+01  3.269E-23  4.855E-14 COBE-DIRBE
9.770E+01  2.120E-23  5.493E-14 COBE-DIRBE
1.479E+02  8.361E-24  3.280E-14 COBE-DIRBE
2.479E+02  1.558E-24  1.024E-14 COBE-DIRBE
1.200E+01  1.210E-24  3.850E-16 IRAS
2.500E+01  4.645E-24  3.081E-15 IRAS
6.000E+01  3.214E-23  5.115E-14 IRAS
1.000E+02  2.025E-23  5.371E-14 IRAS
3.550E+00  1.371E-25  1.291E-17 SST-IRAC
4.493E+00  9.094E-26  1.084E-17 SST-IRAC
5.731E+00  2.082E-25  3.164E-17 SST-IRAC
7.872E+00  8.483E-25  1.771E-16 SST-IRAC
2.368E+01  4.159E-24  2.612E-15 SST-MIPS
7.142E+01  2.890E-23  5.475E-14 SST-MIPS
1.559E+02  6.479E-24  2.679E-14 SST-MIPS
1.600E+01  1.453E-24  6.167E-16 SST-IRSPU
2.200E+01  3.942E-24  2.300E-15 SST-IRSPU











lambda    nu*dP/dnu     j_nu
 (um)   (erg s-1 H-1)(Jy cm2 sr-1 H-1)
1.000E+04  2.395E-31  6.353E-20
9.908E+03  2.482E-31  6.523E-20
9.817E+03  2.572E-31  6.699E-20
9.727E+03  2.666E-31  6.879E-20
9.638E+03  2.763E-31  7.064E-20
