Dust emission from Draine & Li (2007): ApJ 657, 810-837
================================================================
         9 = grain model
 4.000E-08 4.000E-01 2.500E-06 = a_01 (cm) , sigma_1 , b_C1/0.92
 2.500E-07 4.000E-01 2.500E-06 = a_02 (cm) , sigma_2 , b_C2/0.92
 2.500E+01 2.500E+01 1.000E+00 = Umin , Umax, beta (dN/dU propto U^{-beta})
 2.500E+01 = <U> 
     mmp83 = radfield
 2.357E-23 = power/H (erg s-1)
 band   nu*P_nu(band) j_nu(band)
 (um)   (erg s-1 H-1)(Jy cm2 sr-1 H-1)
1.270E+00  4.327E-26  1.458E-18 COBE-DIRBE
2.220E+00  5.675E-26  3.342E-18 COBE-DIRBE
3.530E+00  2.343E-25  2.194E-17 COBE-DIRBE
4.880E+00  1.078E-25  1.395E-17 COBE-DIRBE
1.229E+01  1.324E-24  4.317E-16 COBE-DIRBE
2.079E+01  1.790E-24  9.873E-16 COBE-DIRBE
5.599E+01  1.341E-23  1.991E-14 COBE-DIRBE
9.770E+01  1.482E-23  3.840E-14 COBE-DIRBE
1.479E+02  7.540E-24  2.958E-14 COBE-DIRBE
2.479E+02  1.667E-24  1.096E-14 COBE-DIRBE
1.200E+01  1.285E-24  4.092E-16 IRAS
2.500E+01  1.890E-24  1.253E-15 IRAS
6.000E+01  1.411E-23  2.246E-14 IRAS
1.000E+02  1.448E-23  3.841E-14 IRAS
3.550E+00  2.689E-25  2.532E-17 SST-IRAC
4.493E+00  8.439E-26  1.006E-17 SST-IRAC
5.731E+00  5.109E-25  7.766E-17 SST-IRAC
7.872E+00  1.393E-24  2.909E-16 SST-IRAC
2.368E+01  1.718E-24  1.079E-15 SST-MIPS
7.142E+01  1.532E-23  2.903E-14 SST-MIPS
1.559E+02  6.118E-24  2.530E-14 SST-MIPS
1.600E+01  1.382E-24  5.864E-16 SST-IRSPU
2.200E+01  1.771E-24  1.033E-15 SST-IRSPU











lambda    nu*dP/dnu     j_nu
 (um)   (erg s-1 H-1)(Jy cm2 sr-1 H-1)
1.000E+04  3.204E-31  8.498E-20
9.908E+03  3.321E-31  8.728E-20
9.817E+03  3.442E-31  8.964E-20
9.727E+03  3.568E-31  9.206E-20
9.638E+03  3.698E-31  9.455E-20
9.550E+03  3.833E-31  9.710E-20
