Dust emission from Draine & Li (2007): ApJ 657, 810-837
================================================================
        10 = grain model
 4.000E-08 4.000E-01 5.000E-06 = a_01 (cm) , sigma_1 , b_C1/0.92
 2.500E-07 4.000E-01 5.000E-06 = a_02 (cm) , sigma_2 , b_C2/0.92
 2.500E+01 2.500E+01 1.000E+00 = Umin , Umax, beta (dN/dU propto U^{-beta})
 2.500E+01 = <U> 
     mmp83 = radfield
 2.613E-23 = power/H (erg s-1)
 band   nu*P_nu(band) j_nu(band)
 (um)   (erg s-1 H-1)(Jy cm2 sr-1 H-1)
1.270E+00  7.270E-26  2.449E-18 COBE-DIRBE
2.220E+00  9.747E-26  5.740E-18 COBE-DIRBE
3.530E+00  5.131E-25  4.804E-17 COBE-DIRBE
4.880E+00  2.470E-25  3.198E-17 COBE-DIRBE
1.229E+01  2.474E-24  8.065E-16 COBE-DIRBE
2.079E+01  2.969E-24  1.637E-15 COBE-DIRBE
5.599E+01  1.340E-23  1.990E-14 COBE-DIRBE
9.770E+01  1.455E-23  3.770E-14 COBE-DIRBE
1.479E+02  7.437E-24  2.918E-14 COBE-DIRBE
2.479E+02  1.651E-24  1.085E-14 COBE-DIRBE
1.200E+01  2.496E-24  7.943E-16 IRAS
2.500E+01  3.074E-24  2.039E-15 IRAS
6.000E+01  1.405E-23  2.236E-14 IRAS
1.000E+02  1.422E-23  3.771E-14 IRAS
3.550E+00  5.928E-25  5.582E-17 SST-IRAC
4.493E+00  1.809E-25  2.156E-17 SST-IRAC
5.731E+00  1.343E-24  2.042E-16 SST-IRAC
7.872E+00  3.251E-24  6.788E-16 SST-IRAC
2.368E+01  2.818E-24  1.770E-15 SST-MIPS
7.142E+01  1.503E-23  2.847E-14 SST-MIPS
1.559E+02  6.040E-24  2.498E-14 SST-MIPS
1.600E+01  2.387E-24  1.013E-15 SST-IRSPU
2.200E+01  2.891E-24  1.687E-15 SST-IRSPU











lambda    nu*dP/dnu     j_nu
 (um)   (erg s-1 H-1)(Jy cm2 sr-1 H-1)
1.000E+04  3.161E-31  8.385E-20
9.908E+03  3.277E-31  8.612E-20
9.817E+03  3.396E-31  8.844E-20
9.727E+03  3.520E-31  9.083E-20
9.638E+03  3.648E-31  9.328E-20
9.550E+03  3.782E-31  9.579E-20
9.462E+03  3.919E-31  9.838E-20
9.376E+03  4.062E-31  1.010E-19
9.290E+03  4.211E-31  1.038E-19
9.204E+03  4.364E-31  1.066E-19
9.120E+03  4.524E-31  1.094E-19
9.036E+03  4.689E-31  1.124E-19
8.954E+03  4.859E-31  1.154E-19
8.872E+03  5.035E-31  1.185E-19
8.790E+03  5.218E-31  1.217E-19
