Dust emission from Draine & Li (2007): ApJ 657, 810-837
================================================================
         8 = grain model
 4.000E-08 4.000E-01 0.000E+00 = a_01 (cm) , sigma_1 , b_C1/0.92
 2.500E-07 4.000E-01 0.000E+00 = a_02 (cm) , sigma_2 , b_C2/0.92
 4.000E+00 1.000E+05 2.000E+00 = Umin , Umax, beta (dN/dU propto U^{-beta})
 4.051E+01 = <U> 
     mmp83 = radfield
 2.580E-23 = power/H (erg s-1)
 band   nu*P_nu(band) j_nu(band)
 (um)   (erg s-1 H-1)(Jy cm2 sr-1 H-1)
1.270E+00  5.635E-26  1.898E-18 COBE-DIRBE
2.220E+00  9.699E-26  5.711E-18 COBE-DIRBE
3.530E+00  1.074E-25  1.005E-17 COBE-DIRBE
4.880E+00  1.024E-25  1.325E-17 COBE-DIRBE
1.229E+01  1.518E-24  4.948E-16 COBE-DIRBE
2.079E+01  6.676E-24  3.682E-15 COBE-DIRBE
5.599E+01  1.405E-23  2.087E-14 COBE-DIRBE
9.770E+01  9.407E-24  2.438E-14 COBE-DIRBE
1.479E+02  4.633E-24  1.817E-14 COBE-DIRBE
2.479E+02  1.100E-24  7.233E-15 COBE-DIRBE
1.200E+01  1.296E-24  4.125E-16 IRAS
2.500E+01  8.284E-24  5.494E-15 IRAS
6.000E+01  1.373E-23  2.185E-14 IRAS
1.000E+02  9.095E-24  2.413E-14 IRAS
3.550E+00  1.075E-25  1.013E-17 SST-IRAC
4.493E+00  1.038E-25  1.237E-17 SST-IRAC
5.731E+00  1.060E-25  1.611E-17 SST-IRAC
7.872E+00  6.208E-25  1.296E-16 SST-IRAC
2.368E+01  8.193E-24  5.146E-15 SST-MIPS
7.142E+01  1.167E-23  2.211E-14 SST-MIPS
1.559E+02  3.784E-24  1.565E-14 SST-MIPS
1.600E+01  2.578E-24  1.094E-15 SST-IRSPU
2.200E+01  8.008E-24  4.673E-15 SST-IRSPU











lambda    nu*dP/dnu     j_nu
 (um)   (erg s-1 H-1)(Jy cm2 sr-1 H-1)
1.000E+04  2.552E-31  6.770E-20
9.908E+03  2.645E-31  6.952E-20
9.817E+03  2.741E-31  7.139E-20
9.727E+03  2.841E-31  7.330E-20
9.638E+03  2.944E-31  7.527E-20
9.550E+03  3.051E-31  7.729E-20
9.462E+03  3.162E-31  7.937E-20
9.376E+03  3.277E-31  8.150E-20
9.290E+03  3.396E-31  8.368E-20
9.204E+03  3.519E-31  8.593E-20
9.120E+03  3.647E-31  8.824E-20
9.036E+03  3.780E-31  9.061E-20
8.954E+03  3.917E-31  9.303E-20
8.872E+03  4.058E-31  9.550E-20
8.790E+03  4.205E-31  9.804E-20
8.710E+03  4.357E-31  1.007E-19
8.630E+03  4.515E-31  1.033E-19
8.551E+03  4.678E-31  1.061E-19
8.472E+03  4.847E-31  1.089E-19
8.395E+03  5.023E-31  1.119E-19
8.318E+03  5.205E-31  1.148E-19
8.241E+03  5.394E-31  1.179E-19
8.166E+03  5.590E-31  1.211E-19
8.091E+03  5.793E-31  1.243E-19
8.017E+03  6.004E-31  1.277E-19
7.943E+03  6.223E-31  1.311E-19
7.870E+03  6.449E-31  1.346E-19
7.798E+03  6.684E-31  1.383E-19
7.727E+03  6.928E-31  1.420E-19
7.656E+03  7.181E-31  1.458E-19
7.586E+03  7.443E-31  1.498E-19
7.516E+03  7.715E-31  1.538E-19
7.447E+03  7.997E-31  1.580E-19
7.379E+03  8.289E-31  1.622E-19
7.311E+03  8.592E-31  1.666E-19
7.244E+03  8.907E-31  1.712E-19
7.178E+03  9.233E-31  1.758E-19
7.112E+03  9.572E-31  1.806E-19
7.047E+03  9.923E-31  1.855E-19
6.982E+03  1.029E-30  1.905E-19
6.918E+03  1.066E-30  1.957E-19
6.855E+03  1.105E-30  2.010E-19
6.792E+03  1.146E-30  2.065E-19
6.730E+03  1.188E-30  2.121E-19
6.668E+03  1.232E-30  2.179E-19
6.607E+03  1.277E-30  2.238E-19
6.546E+03  1.324E-30  2.299E-19
6.486E+03  1.373E-30  2.362E-19
6.427E+03  1.423E-30  2.426E-19
6.368E+03  1.476E-30  2.493E-19
6.310E+03  1.530E-30  2.561E-19
6.252E+03  1.587E-30  2.631E-19
6.194E+03  1.645E-30  2.703E-19
6.138E+03  1.706E-30  2.778E-19
6.081E+03  1.769E-30  2.854E-19
6.026E+03  1.835E-30  2.933E-19
5.970E+03  1.903E-30  3.013E-19
5.916E+03  1.973E-30  3.096E-19
5.861E+03  2.046E-30  3.182E-19
5.808E+03  2.122E-30  3.269E-19
5.754E+03  2.201E-30  3.360E-19
5.702E+03  2.283E-30  3.453E-19
5.649E+03  2.368E-30  3.548E-19
5.598E+03  2.456E-30  3.646E-19
5.546E+03  2.547E-30  3.748E-19
5.495E+03  2.642E-30  3.851E-19
5.445E+03  2.741E-30  3.958E-19
5.395E+03  2.843E-30  4.068E-19
5.346E+03  2.949E-30  4.181E-19
5.297E+03  3.059E-30  4.298E-19
5.248E+03  3.173E-30  4.417E-19
5.200E+03  3.292E-30  4.541E-19
5.152E+03  3.415E-30  4.667E-19
5.105E+03  3.543E-30  4.797E-19
5.058E+03  3.675E-30  4.931E-19
5.012E+03  3.813E-30  5.069E-19
4.966E+03  3.956E-30  5.211E-19
4.920E+03  4.104E-30  5.356E-19
4.875E+03  4.258E-30  5.506E-19
4.831E+03  4.418E-30  5.661E-19
4.786E+03  4.584E-30  5.819E-19
4.742E+03  4.756E-30  5.983E-19
4.699E+03  4.935E-30  6.151E-19
4.656E+03  5.120E-30  6.324E-19
4.613E+03  5.313E-30  6.502E-19
4.571E+03  5.513E-30  6.685E-19
4.529E+03  5.721E-30  6.873E-19
4.487E+03  5.937E-30  7.067E-19
4.446E+03  6.161E-30  7.267E-19
4.406E+03  6.394E-30  7.472E-19
4.365E+03  6.636E-30  7.684E-19
4.325E+03  6.887E-30  7.901E-19
