Dust emission from Draine & Li (2007): ApJ 657, 810-837
==========================================================
         1 = grain model
 4.000E-08 4.000E-01 0.000E+00 = a_01 (cm) , sigma_1 , b_C1/0.92
 2.000E-07 5.500E-01 0.000E+00 = a_02 (cm) , sigma_2 , b_C2/0.92
 4.000E+00 1.000E+06 2.000E+00 = Umin , Umax, beta (dN/dU propto U^{-beta})
 4.972E+01 = <U> 
     mmp83 = radfield
 2.219E-22 = power/H (erg s-1)
 band   nu*P_nu(band) j_nu(band)
 (um)   (erg s-1 H-1)(Jy cm2 sr-1 H-1)
1.270E+00  8.704E-26  2.932E-18 COBE-DIRBE
2.220E+00  1.113E-25  6.554E-18 COBE-DIRBE
3.530E+00  1.005E-24  9.408E-17 COBE-DIRBE
4.880E+00  2.215E-24  2.867E-16 COBE-DIRBE
1.229E+01  2.927E-23  9.540E-15 COBE-DIRBE
2.079E+01  6.647E-23  3.666E-14 COBE-DIRBE
5.599E+01  1.023E-22  1.520E-13 COBE-DIRBE
9.770E+01  4.949E-23  1.282E-13 COBE-DIRBE
1.479E+02  2.178E-23  8.544E-14 COBE-DIRBE
2.479E+02  4.632E-24  3.046E-14 COBE-DIRBE
1.200E+01  2.721E-23  8.660E-15 IRAS
2.500E+01  8.413E-23  5.579E-14 IRAS
6.000E+01  9.727E-23  1.548E-13 IRAS
1.000E+02  4.730E-23  1.255E-13 IRAS
3.550E+00  1.128E-24  1.062E-16 SST-IRAC
4.493E+00  1.477E-24  1.760E-16 SST-IRAC
5.731E+00  7.454E-24  1.133E-15 SST-IRAC
7.872E+00  2.381E-23  4.972E-15 SST-IRAC
2.368E+01  7.945E-23  4.990E-14 SST-MIPS
7.142E+01  7.060E-23  1.337E-13 SST-MIPS
1.559E+02  1.745E-23  7.216E-14 SST-MIPS
1.600E+01  4.045E-23  1.717E-14 SST-IRSPU
2.200E+01  7.711E-23  4.500E-14 SST-IRSPU
7.500E+01  6.115E-23  1.217E-13 Herschel-PACS
1.100E+02  3.366E-23  9.820E-14 Herschel-PACS
1.700E+02  1.327E-23  5.985E-14 Herschel-PACS
2.500E+02  3.815E-24  2.530E-14 Herschel-SPIRE
3.600E+02  9.129E-25  8.718E-15 Herschel-SPIRE
5.200E+02  2.026E-25  2.795E-15 Herschel-SPIRE
2.400E+00  1.469E-25  9.353E-18 Akari IRC NIR N2
3.200E+00  7.224E-25  6.132E-17 Akari IRC NIR N3
4.100E+00  1.412E-24  1.536E-16 Akari IRC NIR N4
7.000E+00  2.314E-23  4.297E-15 Akari IRC MIR-S S7
9.000E+00  2.393E-23  5.712E-15 Akari IRC MIR-S S9W
1.100E+01  2.569E-23  7.497E-15 Akari IRC MIR-S S11
1.500E+01  4.274E-23  1.700E-14 Akari IRC MIR-L L15
1.800E+01  5.860E-23  2.798E-14 Akari IRC MIR-L L18W
2.400E+01  7.761E-23  4.941E-14 Akari IRC MIR-L L24
6.500E+01  8.430E-23  1.453E-13 Akari FIS N60
8.000E+01  6.066E-23  1.287E-13 Akari FIS WIDE-S
1.400E+02  2.161E-23  8.026E-14 Akari FIS WIDE-L
1.600E+02  1.616E-23  6.857E-14 Akari FIS N160
 
 
 
 


lambda    nu*dP/dnu     j_nu
 (um)   (erg s-1 H-1)(Jy cm2 sr-1 H-1)
1.000E+04  8.209E-31  2.178E-19
9.908E+03  8.511E-31  2.237E-19
9.817E+03  8.824E-31  2.298E-19
9.727E+03  9.148E-31  2.360E-19
9.638E+03  9.484E-31  2.425E-19
9.550E+03  9.833E-31  2.491E-19
9.462E+03  1.019E-30  2.559E-19
9.376E+03  1.057E-30  2.629E-19
9.290E+03  1.096E-30  2.700E-19
9.204E+03  1.136E-30  2.774E-19
9.120E+03  1.178E-30  2.850E-19
9.036E+03  1.221E-30  2.927E-19
8.954E+03  1.266E-30  3.007E-19
8.872E+03  1.312E-30  3.088E-19
8.790E+03  1.360E-30  3.172E-19
8.710E+03  1.410E-30  3.258E-19
8.630E+03  1.462E-30  3.346E-19
8.551E+03  1.515E-30  3.437E-19
8.472E+03  1.571E-30  3.531E-19
8.395E+03  1.629E-30  3.627E-19
8.318E+03  1.689E-30  3.726E-19
8.241E+03  1.751E-30  3.827E-19
8.166E+03  1.815E-30  3.932E-19
8.091E+03  1.882E-30  4.039E-19
8.017E+03  1.951E-30  4.149E-19
7.943E+03  2.023E-30  4.263E-19
7.870E+03  2.098E-30  4.380E-19
7.798E+03  2.175E-30  4.500E-19
7.727E+03  2.256E-30  4.623E-19
7.656E+03  2.339E-30  4.750E-19
7.586E+03  2.425E-30  4.880E-19
7.516E+03  2.515E-30  5.015E-19
7.447E+03  2.608E-30  5.153E-19
7.379E+03  2.705E-30  5.294E-19
7.311E+03  2.805E-30  5.440E-19
7.244E+03  2.909E-30  5.590E-19
7.178E+03  3.017E-30  5.745E-19
7.112E+03  3.129E-30  5.903E-19
7.047E+03  3.245E-30  6.066E-19
6.982E+03  3.366E-30  6.234E-19
6.918E+03  3.491E-30  6.406E-19
6.855E+03  3.621E-30  6.583E-19
6.792E+03  3.755E-30  6.765E-19
6.730E+03  3.895E-30  6.953E-19
6.668E+03  4.040E-30  7.145E-19
6.607E+03  4.190E-30  7.344E-19
6.546E+03  4.346E-30  7.547E-19
6.486E+03  4.508E-30  7.757E-19
6.427E+03  4.677E-30  7.973E-19
6.368E+03  4.851E-30  8.195E-19
