Dust emission from Draine & Li (2007): ApJ 657, 810-837
================================================================
         8 = grain model
 4.000E-08 4.000E-01 0.000E+00 = a_01 (cm) , sigma_1 , b_C1/0.92
 2.500E-07 4.000E-01 0.000E+00 = a_02 (cm) , sigma_2 , b_C2/0.92
 4.000E+00 4.000E+00 1.000E+00 = Umin , Umax, beta (dN/dU propto U^{-beta})
 4.000E+00 = <U> 
     mmp83 = radfield
 2.552E-24 = power/H (erg s-1)
 band   nu*P_nu(band) j_nu(band)
 (um)   (erg s-1 H-1)(Jy cm2 sr-1 H-1)
1.270E+00  5.525E-27  1.861E-19 COBE-DIRBE
2.220E+00  9.538E-27  5.617E-19 COBE-DIRBE
3.530E+00  1.056E-26  9.891E-19 COBE-DIRBE
4.880E+00  1.006E-26  1.302E-18 COBE-DIRBE
1.229E+01  9.540E-26  3.110E-17 COBE-DIRBE
2.079E+01  1.319E-25  7.276E-17 COBE-DIRBE
5.599E+01  6.131E-25  9.105E-16 COBE-DIRBE
9.770E+01  1.850E-24  4.794E-15 COBE-DIRBE
1.479E+02  1.675E-24  6.570E-15 COBE-DIRBE
2.479E+02  5.867E-25  3.857E-15 COBE-DIRBE
1.200E+01  9.742E-26  3.101E-17 IRAS
2.500E+01  1.364E-25  9.044E-17 IRAS
6.000E+01  7.458E-25  1.187E-15 IRAS
1.000E+02  1.886E-24  5.002E-15 IRAS
3.550E+00  1.058E-26  9.964E-19 SST-IRAC
4.493E+00  1.020E-26  1.216E-18 SST-IRAC
5.731E+00  1.040E-26  1.581E-18 SST-IRAC
7.872E+00  5.866E-26  1.225E-17 SST-IRAC
2.368E+01  1.312E-25  8.242E-17 SST-MIPS
7.142E+01  1.073E-24  2.032E-15 SST-MIPS
1.559E+02  1.505E-24  6.222E-15 SST-MIPS
1.600E+01  8.079E-26  3.429E-17 SST-IRSPU
2.200E+01  1.385E-25  8.084E-17 SST-IRSPU











lambda    nu*dP/dnu     j_nu
 (um)   (erg s-1 H-1)(Jy cm2 sr-1 H-1)
1.000E+04  2.088E-31  5.539E-20
9.908E+03  2.164E-31  5.688E-20
9.817E+03  2.242E-31  5.840E-20
9.727E+03  2.324E-31  5.996E-20
9.638E+03  2.408E-31  6.157E-20
9.550E+03  2.496E-31  6.322E-20
9.462E+03  2.586E-31  6.491E-20
9.376E+03  2.680E-31  6.665E-20
9.290E+03  2.777E-31  6.843E-20
9.204E+03  2.878E-31  7.027E-20
9.120E+03  2.982E-31  7.215E-20
9.036E+03  3.091E-31  7.408E-20
8.954E+03  3.202E-31  7.606E-20
8.872E+03  3.318E-31  7.807E-20
8.790E+03  3.437E-31  8.015E-20
8.710E+03  3.561E-31  8.228E-20
8.630E+03  3.690E-31  8.447E-20
8.551E+03  3.823E-31  8.672E-20
8.472E+03  3.962E-31  8.903E-20
8.395E+03  4.105E-31  9.141E-20
8.318E+03  4.254E-31  9.385E-20
8.241E+03  4.408E-31  9.636E-20
8.166E+03  4.568E-31  9.894E-20
8.091E+03  4.733E-31  1.016E-19
8.017E+03  4.905E-31  1.043E-19
7.943E+03  5.083E-31  1.071E-19
7.870E+03  5.268E-31  1.100E-19
7.798E+03  5.460E-31  1.129E-19
7.727E+03  5.658E-31  1.160E-19
7.656E+03  5.864E-31  1.191E-19
7.586E+03  6.078E-31  1.223E-19
7.516E+03  6.299E-31  1.256E-19
7.447E+03  6.529E-31  1.290E-19
7.379E+03  6.767E-31  1.325E-19
7.311E+03  7.015E-31  1.360E-19
7.244E+03  7.271E-31  1.397E-19
7.178E+03  7.537E-31  1.435E-19
7.112E+03  7.812E-31  1.474E-19
7.047E+03  8.098E-31  1.514E-19
6.982E+03  8.395E-31  1.555E-19
6.918E+03  8.701E-31  1.597E-19
6.855E+03  9.020E-31  1.640E-19
6.792E+03  9.350E-31  1.685E-19
6.730E+03  9.692E-31  1.730E-19
6.668E+03  1.005E-30  1.777E-19
6.607E+03  1.042E-30  1.825E-19
6.546E+03  1.080E-30  1.875E-19
6.486E+03  1.120E-30  1.926E-19
6.427E+03  1.161E-30  1.979E-19
6.368E+03  1.203E-30  2.033E-19
6.310E+03  1.248E-30  2.088E-19
6.252E+03  1.294E-30  2.145E-19
6.194E+03  1.341E-30  2.204E-19
6.138E+03  1.391E-30  2.264E-19
6.081E+03  1.442E-30  2.326E-19
6.026E+03  1.495E-30  2.390E-19
5.970E+03  1.550E-30  2.455E-19
5.916E+03  1.608E-30  2.523E-19
5.861E+03  1.667E-30  2.592E-19
5.808E+03  1.729E-30  2.663E-19
5.754E+03  1.793E-30  2.737E-19
5.702E+03  1.859E-30  2.812E-19
5.649E+03  1.928E-30  2.890E-19
5.598E+03  2.000E-30  2.969E-19
5.546E+03  2.074E-30  3.051E-19
5.495E+03  2.151E-30  3.136E-19
5.445E+03  2.231E-30  3.222E-19
5.395E+03  2.314E-30  3.311E-19
5.346E+03  2.400E-30  3.403E-19
5.297E+03  2.489E-30  3.498E-19
5.248E+03  2.582E-30  3.594E-19
5.200E+03  2.678E-30  3.694E-19
5.152E+03  2.778E-30  3.797E-19
5.105E+03  2.882E-30  3.902E-19
5.058E+03  2.989E-30  4.011E-19
5.012E+03  3.101E-30  4.123E-19
4.966E+03  3.217E-30  4.237E-19
4.920E+03  3.337E-30  4.355E-19
4.875E+03  3.462E-30  4.477E-19
4.831E+03  3.591E-30  4.601E-19
4.786E+03  3.725E-30  4.730E-19
4.742E+03  3.865E-30  4.862E-19
4.699E+03  4.010E-30  4.998E-19
4.656E+03  4.160E-30  5.138E-19
4.613E+03  4.316E-30  5.282E-19
4.571E+03  4.478E-30  5.430E-19
