Dust emission from Draine & Li (2007): ApJ 657, 810-837
================================================================
         3 = grain model
 4.000E-08 4.000E-01 1.500E-05 = a_01 (cm) , sigma_1 , b_C1/0.92
 2.500E-07 4.000E-01 5.000E-06 = a_02 (cm) , sigma_2 , b_C2/0.92
 5.000E+00 1.000E+04 2.000E+00 = Umin , Umax, beta (dN/dU propto U^{-beta})
 3.802E+01 = <U> 
     mmp83 = radfield
 1.691E-22 = power/H (erg s-1)
 band   nu*P_nu(band) j_nu(band)
 (um)   (erg s-1 H-1)(Jy cm2 sr-1 H-1)
1.270E+00  2.501E-25  8.427E-18 COBE-DIRBE
2.220E+00  3.153E-25  1.857E-17 COBE-DIRBE
3.530E+00  2.100E-24  1.967E-16 COBE-DIRBE
4.880E+00  9.791E-25  1.267E-16 COBE-DIRBE
1.229E+01  1.225E-23  3.992E-15 COBE-DIRBE
2.079E+01  2.277E-23  1.255E-14 COBE-DIRBE
5.599E+01  1.019E-22  1.513E-13 COBE-DIRBE
9.770E+01  5.445E-23  1.411E-13 COBE-DIRBE
1.479E+02  2.384E-23  9.353E-14 COBE-DIRBE
2.479E+02  4.978E-24  3.273E-14 COBE-DIRBE
1.200E+01  1.206E-23  3.840E-15 IRAS
2.500E+01  3.330E-23  2.209E-14 IRAS
6.000E+01  9.743E-23  1.551E-13 IRAS
1.000E+02  5.209E-23  1.382E-13 IRAS
3.550E+00  2.444E-24  2.302E-16 SST-IRAC
4.493E+00  6.803E-25  8.108E-17 SST-IRAC
5.731E+00  6.006E-24  9.131E-16 SST-IRAC
7.872E+00  1.551E-23  3.239E-15 SST-IRAC
2.368E+01  2.941E-23  1.848E-14 SST-MIPS
7.142E+01  7.604E-23  1.441E-13 SST-MIPS
1.559E+02  1.904E-23  7.873E-14 SST-MIPS
1.600E+01  1.338E-23  5.678E-15 SST-IRSPU
2.200E+01  2.757E-23  1.609E-14 SST-IRSPU











lambda    nu*dP/dnu     j_nu
 (um)   (erg s-1 H-1)(Jy cm2 sr-1 H-1)
1.000E+04  8.542E-31  2.266E-19
9.908E+03  8.855E-31  2.327E-19
9.817E+03  9.180E-31  2.391E-19
9.727E+03  9.517E-31  2.456E-19
9.638E+03  9.866E-31  2.523E-19
9.550E+03  1.023E-30  2.591E-19
9.462E+03  1.060E-30  2.662E-19
9.376E+03  1.099E-30  2.734E-19
9.290E+03  1.140E-30  2.808E-19
9.204E+03  1.182E-30  2.885E-19
9.120E+03  1.225E-30  2.963E-19
9.036E+03  1.270E-30  3.044E-19
8.954E+03  1.316E-30  3.127E-19
8.872E+03  1.365E-30  3.211E-19
8.790E+03  1.414E-30  3.298E-19
8.710E+03  1.466E-30  3.387E-19
8.630E+03  1.520E-30  3.479E-19
8.551E+03  1.575E-30  3.573E-19
8.472E+03  1.633E-30  3.670E-19
8.395E+03  1.693E-30  3.770E-19
8.318E+03  1.755E-30  3.873E-19
8.241E+03  1.820E-30  3.978E-19
8.166E+03  1.887E-30  4.086E-19
8.091E+03  1.956E-30  4.198E-19
8.017E+03  2.028E-30  4.312E-19
7.943E+03  2.103E-30  4.430E-19
7.870E+03  2.180E-30  4.551E-19
7.798E+03  2.260E-30  4.676E-19
7.727E+03  2.344E-30  4.804E-19
7.656E+03  2.430E-30  4.935E-19
7.586E+03  2.520E-30  5.070E-19
7.516E+03  2.613E-30  5.210E-19
7.447E+03  2.710E-30  5.353E-19
7.379E+03  2.810E-30  5.500E-19
7.311E+03  2.914E-30  5.651E-19
7.244E+03  3.022E-30  5.807E-19
7.178E+03  3.134E-30  5.967E-19
7.112E+03  3.250E-30  6.131E-19
7.047E+03  3.370E-30  6.300E-19
6.982E+03  3.496E-30  6.474E-19
6.918E+03  3.625E-30  6.653E-19
6.855E+03  3.760E-30  6.836E-19
6.792E+03  3.899E-30  7.025E-19
6.730E+03  4.044E-30  7.219E-19
6.668E+03  4.194E-30  7.419E-19
6.607E+03  4.350E-30  7.624E-19
6.546E+03  4.512E-30  7.836E-19
6.486E+03  4.680E-30  8.053E-19
6.427E+03  4.855E-30  8.277E-19
6.368E+03  5.036E-30  8.507E-19
6.310E+03  5.224E-30  8.743E-19
6.252E+03  5.419E-30  8.987E-19
6.194E+03  5.622E-30  9.237E-19
6.138E+03  5.832E-30  9.495E-19
6.081E+03  6.050E-30  9.760E-19
6.026E+03  6.277E-30  1.003E-18
5.970E+03  6.512E-30  1.031E-18
5.916E+03  6.756E-30  1.060E-18
5.861E+03  7.010E-30  1.090E-18
5.808E+03  7.273E-30  1.120E-18
5.754E+03  7.546E-30  1.152E-18
5.702E+03  7.830E-30  1.184E-18
5.649E+03  8.124E-30  1.217E-18
5.598E+03  8.430E-30  1.252E-18
5.546E+03  8.748E-30  1.287E-18
5.495E+03  9.077E-30  1.323E-18
5.445E+03  9.420E-30  1.361E-18
5.395E+03  9.775E-30  1.399E-18
5.346E+03  1.014E-29  1.438E-18
