Dust emission from Draine & Li (2007): ApJ 657, 810-837
================================================================
         1 = grain model
 4.000E-08 4.000E-01 0.000E+00 = a_01 (cm) , sigma_1 , b_C1/0.92
 2.500E-07 4.000E-01 0.000E+00 = a_02 (cm) , sigma_2 , b_C2/0.92
 7.000E+00 1.000E+05 2.000E+00 = Umin , Umax, beta (dN/dU propto U^{-beta})
 6.697E+01 = <U> 
     mmp83 = radfield
 2.989E-22 = power/H (erg s-1)
 band   nu*P_nu(band) j_nu(band)
 (um)   (erg s-1 H-1)(Jy cm2 sr-1 H-1)
1.270E+00  1.133E-25  3.815E-18 COBE-DIRBE
2.220E+00  1.351E-25  7.955E-18 COBE-DIRBE
3.530E+00  8.426E-25  7.890E-17 COBE-DIRBE
4.880E+00  4.639E-25  6.006E-17 COBE-DIRBE
1.229E+01  2.129E-23  6.940E-15 COBE-DIRBE
2.079E+01  7.073E-23  3.901E-14 COBE-DIRBE
5.599E+01  1.645E-22  2.443E-13 COBE-DIRBE
9.770E+01  7.367E-23  1.909E-13 COBE-DIRBE
1.479E+02  2.976E-23  1.168E-13 COBE-DIRBE
2.479E+02  5.825E-24  3.830E-14 COBE-DIRBE
1.200E+01  1.832E-23  5.830E-15 IRAS
2.500E+01  9.928E-23  6.584E-14 IRAS
6.000E+01  1.554E-22  2.473E-13 IRAS
1.000E+02  6.998E-23  1.856E-13 IRAS
3.550E+00  9.795E-25  9.223E-17 SST-IRAC
4.493E+00  3.012E-25  3.590E-17 SST-IRAC
5.731E+00  3.702E-24  5.628E-16 SST-IRAC
7.872E+00  1.611E-23  3.364E-15 SST-IRAC
2.368E+01  9.264E-23  5.819E-14 SST-MIPS
7.142E+01  1.113E-22  2.108E-13 SST-MIPS
1.559E+02  2.340E-23  9.678E-14 SST-MIPS
1.600E+01  3.329E-23  1.413E-14 SST-IRSPU
2.200E+01  8.736E-23  5.098E-14 SST-IRSPU











lambda    nu*dP/dnu     j_nu
 (um)   (erg s-1 H-1)(Jy cm2 sr-1 H-1)
1.000E+04  9.040E-31  2.398E-19
9.908E+03  9.372E-31  2.463E-19
9.817E+03  9.717E-31  2.530E-19
9.727E+03  1.007E-30  2.599E-19
9.638E+03  1.044E-30  2.670E-19
9.550E+03  1.083E-30  2.743E-19
9.462E+03  1.123E-30  2.818E-19
9.376E+03  1.164E-30  2.895E-19
9.290E+03  1.207E-30  2.974E-19
9.204E+03  1.251E-30  3.055E-19
9.120E+03  1.297E-30  3.138E-19
9.036E+03  1.345E-30  3.224E-19
8.954E+03  1.394E-30  3.312E-19
8.872E+03  1.445E-30  3.402E-19
8.790E+03  1.498E-30  3.494E-19
8.710E+03  1.553E-30  3.589E-19
8.630E+03  1.610E-30  3.686E-19
8.551E+03  1.669E-30  3.786E-19
8.472E+03  1.731E-30  3.890E-19
8.395E+03  1.794E-30  3.995E-19
8.318E+03  1.860E-30  4.104E-19
8.241E+03  1.929E-30  4.216E-19
8.166E+03  2.000E-30  4.332E-19
8.091E+03  2.073E-30  4.450E-19
8.017E+03  2.150E-30  4.572E-19
7.943E+03  2.229E-30  4.697E-19
7.870E+03  2.311E-30  4.826E-19
7.798E+03  2.397E-30  4.958E-19
7.727E+03  2.485E-30  5.094E-19
7.656E+03  2.577E-30  5.234E-19
7.586E+03  2.673E-30  5.378E-19
7.516E+03  2.772E-30  5.526E-19
7.447E+03  2.874E-30  5.678E-19
7.379E+03  2.981E-30  5.835E-19
7.311E+03  3.091E-30  5.995E-19
7.244E+03  3.206E-30  6.161E-19
7.178E+03  3.325E-30  6.331E-19
7.112E+03  3.449E-30  6.506E-19
7.047E+03  3.577E-30  6.686E-19
6.982E+03  3.710E-30  6.871E-19
6.918E+03  3.848E-30  7.061E-19
6.855E+03  3.991E-30  7.257E-19
6.792E+03  4.139E-30  7.457E-19
6.730E+03  4.293E-30  7.664E-19
6.668E+03  4.453E-30  7.877E-19
6.607E+03  4.619E-30  8.096E-19
6.546E+03  4.792E-30  8.321E-19
6.486E+03  4.970E-30  8.552E-19
6.427E+03  5.156E-30  8.790E-19
6.368E+03  5.349E-30  9.035E-19
6.310E+03  5.549E-30  9.287E-19
6.252E+03  5.757E-30  9.546E-19
6.194E+03  5.972E-30  9.813E-19
6.138E+03  6.196E-30  1.009E-18
6.081E+03  6.428E-30  1.037E-18
6.026E+03  6.669E-30  1.066E-18
5.970E+03  6.920E-30  1.096E-18
5.916E+03  7.180E-30  1.127E-18
5.861E+03  7.450E-30  1.158E-18
5.808E+03  7.730E-30  1.191E-18
5.754E+03  8.021E-30  1.224E-18
5.702E+03  8.323E-30  1.259E-18
5.649E+03  8.637E-30  1.294E-18
5.598E+03  8.963E-30  1.331E-18
5.546E+03  9.301E-30  1.368E-18
5.495E+03  9.652E-30  1.407E-18
5.445E+03  1.002E-29  1.447E-18
5.395E+03  1.040E-29  1.488E-18
5.346E+03  1.079E-29  1.530E-18
5.297E+03  1.120E-29  1.573E-18
5.248E+03  1.162E-29  1.618E-18
5.200E+03  1.206E-29  1.664E-18
5.152E+03  1.252E-29  1.711E-18
5.105E+03  1.299E-29  1.759E-18
5.058E+03  1.349E-29  1.809E-18
5.012E+03  1.400E-29  1.861E-18
4.966E+03  1.453E-29  1.914E-18
4.920E+03  1.508E-29  1.968E-18
4.875E+03  1.566E-29  2.025E-18
4.831E+03  1.625E-29  2.082E-18
4.786E+03  1.687E-29  2.142E-18
4.742E+03  1.751E-29  2.203E-18
4.699E+03  1.818E-29  2.266E-18
4.656E+03  1.887E-29  2.331E-18
4.613E+03  1.959E-29  2.398E-18
4.571E+03  2.034E-29  2.466E-18
4.529E+03  2.112E-29  2.537E-18
4.487E+03  2.193E-29  2.610E-18
4.446E+03  2.277E-29  2.685E-18
4.406E+03  2.364E-29  2.763E-18
4.365E+03  2.455E-29  2.842E-18
4.325E+03  2.549E-29  2.924E-18
4.285E+03  2.647E-29  3.009E-18
4.246E+03  2.748E-29  3.095E-18
4.207E+03  2.854E-29  3.185E-18
4.169E+03  2.964E-29  3.277E-18
4.130E+03  3.078E-29  3.372E-18
4.093E+03  3.196E-29  3.470E-18
4.055E+03  3.319E-29  3.570E-18
4.018E+03  3.447E-29  3.674E-18
3.981E+03  3.580E-29  3.781E-18
3.945E+03  3.718E-29  3.890E-18
3.908E+03  3.861E-29  4.003E-18
3.873E+03  4.010E-29  4.120E-18
3.837E+03  4.165E-29  4.239E-18
3.802E+03  4.326E-29  4.363E-18
3.767E+03  4.494E-29  4.490E-18
3.733E+03  4.668E-29  4.621E-18
